ISim log file
Running: D:\ISEp\pipeline_plus\mips_tf_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/ISEp/pipeline_plus/mips_tf_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                  18@00003000: $ 8 <= 00003010
                  30@00003008: $ 9 <= 00040000
                  34@00003010: $14 <= 00000004
                  38@00003014: $10 <= 0000000b
                  42@00003018: $11 <= 0000002d
                  46@0000301c: $12 <= 0000ffff
                  54@00003020: $12 <= 0000002d
                  58@00003024: $13 <= 0000002d
                  70@0000302c: $14 <= 0000002d
                  78@00003010: $14 <= 00000004
                 106@00003034: $15 <= 00000010
                 110@00003038: $16 <= 00040000
                 122@00003040: $10 <= 00000010
                 126@00003044: $10 <= 00004000
                 130@00003048: $10 <= 00000001
                 134@0000304c: $10 <= 00000000
                 138@00003050: $10 <= 00000000
                 142@00003054: $11 <= fffffffc
                 146@00003058: $10 <= ffffffff
                 150@0000305c: $10 <= 1fffffff
                 154@00003060: $10 <= ffffffff
                 158@00003064: $10 <= 00000000
                 162@00003068: $10 <= 00000001
                 166@0000306c: $10 <= 00000001
                 174@00003070: $10 <= 00000000
                 178@00003074: $12 <= 00040000
                 182@00003078: $12 <= fffbfffc
                 186@0000307c: $12 <= 00000003
                 198@00003088: $13 <= fffffffc
                 202@0000308c: $14 <= 00000003
                 230@00003094: $15 <= ffffffff
                 234@00003098: $16 <= fffffff4
                 262@000030a0: $15 <= 00000000
                 266@000030a4: $16 <= 00000010
                 314@000030ac: $15 <= ffffffff
                 318@000030b0: $16 <= ffffffff
                 366@000030b8: $15 <= 00000000
                 370@000030bc: $16 <= 00000001
                 398@000030c4: $15 <= 00000002
                 402@000030c8: $16 <= fffffff4
                 430@000030d0: $15 <= fffffff8
                 434@000030d4: $16 <= 00000010
                 482@000030dc: $15 <= 00000000
                 486@000030e0: $16 <= 55555554
                 534@000030e8: $15 <= 00000000
                 538@000030ec: $31 <= 000030f4
                 542@000030f0: $17 <= 00003100
                 554@000030f4: $31 <= 000030fc
                 558@000030f8: $16 <= 00000001
                 578@00003110: $10 <= 0000000f
                 590@0000311c: $10 <= 0000000f
                 634@00003158: $10 <= 0000000f
                 646@00003164: $10 <= 0000000f
                 654@00003168: $10 <= 000000f2
                 654@0000316c: *00000004 <= 000000f2
                 658@00003170: *00000000 <= f2000000
                 662@00003174: *00000000 <= f200f200
                 666@00003178: *00000000 <= f200f2f2
                 670@0000317c: *00000000 <= f2f2f2f2
                 674@00003180: *00000004 <= 00f200f2
                 678@00003184: *00000008 <= 000000f2
                 686@00003188: $15 <= fffff2f2
                 698@0000318c: $15 <= 000000f2
                 710@00003190: $15 <= f2f2f2f2
                 722@00003194: $15 <= fffffff2
                 734@00003198: $15 <= fffffff2
                 746@0000319c: $15 <= fffffff2
                 758@000031a0: $15 <= 000000f2
                 770@000031a4: $15 <= 000000f2
                 782@000031a8: $15 <= 000000f2
                 794@000031ac: $15 <= 000000f2
                 806@000031b0: $15 <= 000000f2
                 818@000031b4: $15 <= 0000f2f2
                 830@000031b8: $15 <= 000000f2
